# ID,label,height,root_density,area,shape_index,linearity_top,planarity_top,sphericity_top,omnivariance_top,anisotropy_top,change_of_curvature_top,num_points
   0.00000,   0.00000,  19.73000,   0.00276,  46.98954,   1.64152,   0.70143,   0.28066,   0.01788,   0.07856,   0.98209,   0.01359,1809.00000
   1.00000,   0.00000,   8.47000,   0.00434,  53.22318,   1.86922,   0.22824,   0.71340,   0.05832,   0.08734,   0.94163,   0.03187,2076.00000
   2.00000,   0.00000,  15.57000,   0.00145, 239.90445,   4.01883,   0.30563,   0.58858,   0.10576,   0.13289,   0.89421,   0.05875,8952.00000
   3.00000,   0.00000,  16.47000,   0.00097, 265.78952,   4.28723,   0.45442,   0.34996,   0.19560,   0.27355,   0.80439,   0.11234,10279.00000
   4.00000,   0.00000,   9.75000,   0.00041, 332.97028,   4.87980,   0.14476,   0.81231,   0.04291,   0.13390,   0.95706,   0.02261,12125.00000
   5.00000,   0.00000,  13.58000,   0.00118, 102.33717,   2.63021,   0.13887,   0.81474,   0.04635,   0.08658,   0.95361,   0.02430,3384.00000
   6.00000,   0.00000,   8.33000,   0.00062,  85.87453,   2.36997,   0.58984,   0.37890,   0.03123,   0.08315,   0.96875,   0.02166,3236.00000
   7.00000,   0.00000,  17.41000,   0.00031, 365.96097,   4.82694,   0.32814,   0.37411,   0.29772,   0.25201,   0.70225,   0.15116,12870.00000
   8.00000,   0.00000,  11.57000,   0.00129, 227.85353,   3.97012,   0.38371,   0.38703,   0.22923,   0.16947,   0.77074,   0.12421,7729.00000
   9.00000,   0.00000,  14.16000,   0.00108, 180.44446,   3.25629,   0.71332,   0.13226,   0.15441,   0.19374,   0.84557,   0.10715,5565.00000
  10.00000,   0.00000,  13.56000,   0.00111, 192.89429,   3.51677,   0.20670,   0.61029,   0.18296,   0.11763,   0.81699,   0.09258,7181.00000
  11.00000,   0.00000,  18.11000,   0.00061, 277.18469,   4.48349,   0.29832,   0.45937,   0.24228,   0.21602,   0.75769,   0.12463,9795.00000
  12.00000,   0.00000,   8.54000,   0.00578,  50.15804,   1.82713,   0.36896,   0.49966,   0.13135,   0.12761,   0.86862,   0.07453,1904.00000
  13.00000,   0.00000,  15.49000,   0.00149, 172.55748,   3.39995,   0.85086,   0.03602,   0.11311,   0.26690,   0.88688,   0.08961,6037.00000
  14.00000,   0.00000,   8.39000,   0.00125, 184.25580,   3.53537,   0.09006,   0.85997,   0.04993,   0.08850,   0.95003,   0.02547,7182.00000
  15.00000,   0.00000,  13.16000,   0.00042, 765.83606,   7.11978,   0.41901,   0.47930,   0.10169,   0.37954,   0.89830,   0.06043,26353.00000
  16.00000,   0.00000,  12.85000,   0.00093, 137.01289,   3.09228,   0.12338,   0.82078,   0.05580,   0.08926,   0.94416,   0.02888,5379.00000
  17.00000,   0.00000,   8.72000,   0.00071, 208.93623,   3.64275,   0.10689,   0.86938,   0.02368,   0.06261,   0.97628,   0.01235,7010.00000
  18.00000,   0.00000,   7.56000,   0.00447,  31.18900,   1.37856,   0.26612,   0.63395,   0.09989,   0.10410,   0.90007,   0.05447,1118.00000
  19.00000,   0.00000,  10.64000,   0.00066, 157.60658,   3.30481,   0.05145,   0.71559,   0.23290,   0.12777,   0.76705,   0.10677,6018.00000
